geocodigo,area,perimeter
"2900306",180765269.603888,75311.7955392546
"2901908",480500205.69156,124751.909705446
"2102556",610556791.951321,124520.771963139
"5006903",17747086874.3466,894423.519531681
"1101468",5985129903.79058,780557.98120664
"3158003",597579300.831637,167903.232606065
"2910750",362178656.817895,84014.4015156059
"3510609",34410723.0802901,28711.0883546949
"3545308",281939281.678996,97395.7041516628
"3553005",145296824.47405,65504.4241360887
"3507001",246249157.43137,101251.986269473
"2910404",1901194633.72478,315506.040118041
"3122207",131786803.453958,71083.3067977343
"3134707",1390671194.82157,240552.91913086
"3146255",452237010.202989,139620.665061913
"3120300",840431108.644229,172233.523252145
"3125606",594373319.606051,166295.263117947
"5202601",563419472.935143,157871.421046874
"5108105",4257361083.28373,381318.699186819
"3126703",2759711530.43889,303009.770545943
"3156601",967690800.367727,193698.349364555
"2207850",1094007144.9979,153947.770851937
"1101492",10945469888.6061,719488.845331525
"4203402",1027133970.7826,219011.778834894
"3118007",305211378.19463,115494.494210942
"1101757",3143080949.68128,443876.954031519
"4100202",1347127775.9868,268633.115287403
"4208807",329495852.277713,112049.798074322
"3519709",1056413818.76899,216470.163162675
"5106208",3290531173.72677,473034.648142273
"2103307",4363901266.78657,416378.519652026
"3134004",1642089942.00727,232162.636502127
"5220108",832147136.80607,183824.297010611
"5213400",451533015.239661,165806.761635567
"5215652",1316897406.57419,226304.338521455
"3120904",3293716444.33587,548690.731264475
"3111150",506214026.937356,173544.596271869
"5217203",2049339604.00748,269852.745698214
"5108204",2399779207.90741,328198.388184447
"5205703",456212380.281056,149859.482563516
"2910727",1423737962.59319,191988.786769145
"3302858",41413466.2500496,30971.0677808715
"3110707",246143464.061063,99471.4307254716
"3117702",370744619.160343,108860.054925924
"3120805",523657485.231282,120457.964612208
"4122701",191555193.690524,76030.0530199551
"3509205",130962448.525365,62034.3158857076
"3509007",95795781.924376,63051.0175883404
"3539103",108488420.872133,59331.3285858746
"3554201",295395222.140605,90439.1148372824
"2924306",1835295218.23994,200433.508177686
"2900108",530145436.227398,154418.606357527
"5205307",6951066592.51853,578890.978381402
"1702406",5804008151.5872,506060.345487541
"2928208",1981218171.50581,249252.919231598
"2928109",1890469820.46325,254333.352053395
"2923605",1132647441.90595,216042.06693634
"2914307",1704966841.6886,275666.160609937
"2926707",1102312421.68729,263765.916641953
"5213087",2848072231.28226,369097.188972426
"5221452",800029902.694916,192880.946072281
"1100064",1449236300.29871,179826.165262838
"5200605",2600160199.47109,353635.463004477
"5213772",1334200367.05577,251444.397540437
"2913457",592394223.766327,170109.444694277
"2919801",2439851814.00333,260199.589729072
"2928901",14999780256.3495,713141.420186126
"2923704",2617376036.4153,288102.588061574
"2930758",1604110681.27212,212982.94965081
"1702000",5150408232.93803,454716.377974694
"2911907",2338883141.14851,268009.790063579
"5204904",723841987.940447,247563.66852626
"2902500",3342635457.30698,298361.286426813
"2903805",3004584421.32057,289122.926693572
"2912509",945439924.119929,149894.472235119
"5207501",300381869.202264,104495.496343997
"4304804",229878128.804632,84560.1580685322
"4127601",675069771.728521,161211.257668978
"1300508",5785414889.22862,502335.17115749
"1506161",4120176083.95474,411814.473368883
"4321105",809539575.576363,194194.945491509
"3106309",336247442.143036,89356.0664559577
"3159803",3022147556.84446,313755.947818882
"2929909",2404645041.97919,308517.164177619
"2913002",1852421335.86728,228955.96074967
"2930303",1595881820.55718,211790.493692909
"3542602",721386531.388981,181438.330331794
"3522158",183229525.776298,83903.3382461325
"3542800",334372075.842421,124681.077701776
"4101655",217355200.924904,104870.485889349
"3502705",978529786.780411,247111.469222759
"4317301",5151698631.1749,475304.011323538
"4128005",652321993.035046,179107.275014584
"2918001",2963093437.34536,414226.43602899
"2921054",773583873.760786,125112.997115186
"5208103",847319843.490946,164351.636845723
"2919504",1949413847.39197,272631.083842438
"5209408",1224774068.90582,235728.214384671
"4311627",33069896.6485463,31653.8038706741
"2928604",493178547.098445,148247.190228585
"2211209",8403490085.93089,419008.182670909
"5107883",1495302460.13722,277202.119444889
"2205904",1619271848.36261,215990.886681498
"2925956",1098058716.48584,194060.351092531
"2928505",720933705.549276,144603.546865147
"2904902",397879922.999911,111812.883199484
"1720903",2439462998.10806,330894.380746677
"1101450",2550755548.00974,252525.783626889
"1702703",749238081.23473,210508.997791646
"2907301",712770424.606469,133692.465324601
"2914406",1011724902.32708,162175.199466605
"2913804",366803989.729842,93872.7626160195
"2910800",1329819138.38473,301367.252348496
"2908507",116516402.726031,68479.2099573056
"1717800",1808701825.85504,332067.784101749
"1705607",2526618027.7078,279744.521994645
"1720937",1105778157.25879,173720.672867988
"5101852",4263776081.13353,447011.539025626
"5104542",2938707658.51174,292655.450617174
"2908903",378624820.037194,107624.131858717
"2909703",1032448460.45986,191483.957319713
"2602902",445714074.926673,134586.872972104
"2209971",213372283.581749,65189.5670939842
"5219605",789972276.827255,166593.829201989
"5217401",1077204140.02686,262317.7160193
"5219712",452616816.597858,115617.78072759
"1703073",1104634722.49554,225185.756957061
"4323002",1491144005.63138,247357.349081365
"5216403",3791268114.29404,430456.217377769
"5219407",1353380195.01892,354564.946203357
"3539608",290263913.365704,87861.0744513891
"3539707",329016255.522523,93890.3466976509
"3540259",209669655.566715,71342.5161209358
"3540606",556571899.988093,132165.767390591
"4113700",1652582154.3336,306144.494354647
"3506359",497212996.878514,146982.241846495
"3300209",659152812.738713,144222.49156507
"4313953",854665554.522493,183959.4610098
"4301909",726617470.051276,189116.861966882
"4315701",2053674588.17434,408231.597449755
"4319604",2201941156.1791,401663.343545643
"4300406",7802163082.82108,612869.136654389
