geometriaa,nome,geocodigo,xcoord,ycoord
Não,Novo Progresso,"1505031",-55.4145371137445,-7.03289373106111
Não,Balneário Rincão,"4220000",-49.2405474199999,-28.836356152
Não,Caiana,"3110103",-41.9234581609999,-20.6952823059999
Não,Varre-Sai,"3306156",-41.8695682199999,-20.925928649
Não,Carangola,"3113305",-42.0283566549999,-20.7338026799999
Não,Santa Cruz da Esperança,"3546256",-47.4297019554868,-21.2923866493472
Não,Ibirapuã,"2912806",-40.1102865649999,-17.6876889779999
Não,Durandé,"3123528",-41.7949631959999,-20.2024536579999
Não,São José dos Ausentes,"4318622",-50.0648516516692,-28.7484226548616
Não,Charrua,"4305371",-52.0157840079999,-27.9545366849999
Não,Jaquirana,"4311122",-50.3582790869999,-28.8839312299999
Não,Quatro Irmãos,"4315313",-52.4429150999999,-27.8225677179999
Não,Agudos do Sul,"4100301",-49.3357321919999,-25.9874654949999
Não,Cruzaltense,"4306130",-52.6488009459999,-27.6673189589999
Não,Paulo Bento,"4314134",-52.4226109449999,-27.7028994909999
Não,Pinhal da Serra,"4314464",-51.1700194339999,-27.8751584669999
Não,Santa Cecília do Sul,"4316733",-51.9298217059999,-28.163866766
Não,Barra de Santa Rosa,"2501609",-36.059827527,-6.71669588999993
Não,Currais Novos,"2403103",-36.517449713,-6.25575659599997
Não,Florânia,"2403806",-36.8106551229999,-6.12355645399998
Não,Janduís,"2405207",-37.4077413099999,-6.01531614999993
Não,Alto Taquari,"5100607",-53.2824794709999,-17.8302074599999
Não,Novo Santo Antônio,"5106315",-50.968330567,-12.2914944889999
Não,Tesouro,"5108105",-53.5544639029999,-16.081589396
Não,Angelândia,"3102852",-42.2730025089999,-17.7259999029999
Não,Capelinha,"3112307",-42.5160021449999,-17.6909999069999
Não,Coroaci,"3119203",-42.2860024939999,-18.6219999279999
Não,Córrego Fundo,"3119955",-45.5549999999999,-20.449
Não,Engenheiro Caldas,"3123700",-42.0466874749999,-19.1995300459999
Não,Iaras,"3519253",-49.1630000019999,-22.8709999989999
Não,Rondolândia,"5107578",-61.4596781719947,-10.8443019740102
Não,Vigia,"1508209",-48.1414985852069,-0.855532573667763
Não,Serra Nova Dourada,"5107883",-51.402214508,-12.0909064369999
Não,Alecrim,"4300307",-54.7640250139999,-27.6549788579999
Não,Santa Margarida do Sul,"4316972",-54.0797319999999,-30.3396509999999
Não,Caldas,"3110301",-46.3859999999999,-21.9239999999999
Não,Rorainópolis,"1400472",-60.4345243960148,0.940860885198041
Não,Amajari,"1400027",-61.4193845470526,3.65215168947103
Não,Caibi,"4203105",-53.2487406529999,-27.0745415649999
Não,Camacho,"3110400",-45.1569999999999,-20.6249999999999
Não,Irará,"2914505",-38.76689676,-12.034093352
Não,Ichu,"2913309",-39.190597066,-11.748685859
Não,Barroso,"3105905",-43.9730588649999,-21.1883986909999
Não,Britânia,"5203807",-51.165439751,-15.242873505
Não,Santa Terezinha,"2928505",-39.5227367259999,-12.7695931659999
Não,Várzea da Roça,"2933059",-40.138670291,-11.606981708
Não,Terra Nova,"2931707",-38.6203571459999,-12.4039284429999
Não,Uru,"3555901",-49.2810000019999,-21.7839999989999
Não,Baixa Grande do Ribeiro,"2201150",-45.2098717169999,-7.85986998799996
Não,Arraial,"2201002",-42.534918209,-6.65174439399993
Não,Antônio Almeida,"2200806",-44.193558888,-7.21944277499995
Não,Agricolândia,"2200103",-42.658530399,-5.79794656799993
Não,Barras,"2201200",-42.293833268,-4.24484476599997
Não,Nossa Senhora de Nazaré,"2206753",-42.176674654,-4.62702948799995
Não,São Lourenço do Piauí,"2210359",-42.5474271259999,-9.16874561299994
Não,Pavussu,"2207850",-43.22517658,-7.96499155399994
Não,Amarante,"2200509",-42.850799743,-6.24485723199996
Não,Barra D''Alcântara,"2201176",-42.106783707,-6.51934274399997
Não,Altos,"2200400",-42.4595655959999,-5.03919400199993
Não,Porto,"2208502",-42.711565955,-3.89169810599998
Não,Alto Longá,"2200301",-42.2045624589999,-5.25584042199995
Não,Alvorada do Gurguéia,"2200459",-43.8630929401915,-8.44393673253154
Não,Avelino Lopes,"2201101",-43.949595567,-10.134663318
Não,Francisco Ayres,"2204105",-42.6936298319999,-6.62522944099993
Não,Lagoinha do Piauí,"2205540",-42.633797892,-5.83158293899993
Não,Couto de Magalhães de Minas,"3120102",-43.4721510182073,-18.0753439883391
Não,Cantagalo,"3112059",-42.6262355576671,-18.526482475333
Não,Pingo d''Água,"3150539",-42.4080023349999,-19.7269999609999
Não,Açucena,"3100500",-42.5460021099999,-19.0729999409999
Não,Águas Formosas,"3100906",-40.9363067449999,-17.0827280549999
Não,Beneditinos,"2201606",-42.3598785029999,-5.45678853899994
Não,Bertolínia,"2201705",-43.9531792769999,-7.63626793099996
Não,Pitangui,"3151404",-44.8899999999999,-19.6829999999999
Não,Alvarenga,"3102209",-41.727124725126,-19.4164142319473
Não,Andradas,"3102605",-46.5690000829999,-22.0679999929999
Não,Arcos,"3104205",-45.5389999999999,-20.2819999999999
Não,Água Santa,"4300059",-52.035153556,-28.1780040269999
Não,Ajuricaba,"4300208",-53.7709999809999,-28.2389999999999
Não,Chiador,"3116209",-43.0560634739999,-22.0034828709999
Não,Ametista do Sul,"4300646",-53.1845898949999,-27.3609094469999
