geocodigo_1,geocodigo_2,distancia,AER,FER,HID,ROD,FRO
1100304,1100122,2.592404258494872,True,False,False,False,False
1301704,1100122,3.542155776906918,True,False,False,False,False
1100122,1302405,4.609503194538691,True,False,False,False,False
3106200,1100122,20.12300018134054,True,False,False,False,False
1100122,3549805,16.020909992567585,True,False,False,False,False
1100122,5107909,6.511443982333932,True,False,False,False,False
1100122,5300108,14.89415085384377,True,False,False,False,False
1100122,1100205,2.8326248530063287,True,False,False,False,False
1100304,1100205,5.423821429533623,True,False,False,False,False
1200203,1100205,8.914114916287023,True,False,False,False,False
1200401,1100205,4.148808632146401,True,False,False,False,False
1301209,1100205,4.73366518335682,True,False,False,False,False
1301704,1100205,1.4901902405276268,True,False,True,True,True
1100205,1302405,1.7908345566182307,True,False,False,False,True
1304203,1100205,5.4900229535570855,True,False,False,False,False
5208707,1100205,16.586372928618708,True,False,False,False,False
1100122,1200203,11.20940799538499,True,False,False,False,False
1200401,1100122,5.909990465395888,True,False,False,False,False
1200401,1200203,5.4310493769968,True,False,False,False,False
1200401,3304557,27.774550068619558,True,False,False,False,False
1200401,3509502,24.426383192240518,True,False,False,False,False
1300409,1303601,2.165860273879244,True,False,True,True,True
1200401,1300706,1.322930872376153,True,False,False,False,False
1301001,1304203,2.67142120733723,True,False,False,False,True
1301209,1301001,3.8467326143596976,True,False,False,False,False
1301209,1301407,7.2109476235492584,True,False,False,False,False
1301209,1304203,1.7393278673064785,True,False,True,True,True
1301209,1506807,8.563153154963741,True,False,False,False,False
1303908,1301605,3.0130593958318563,True,False,False,False,False
1301605,1304062,4.22047530882883,True,False,False,False,False
1301704,1302405,1.7817930351695814,True,False,False,False,False
1100122,1302603,8.013012569880598,True,False,False,False,False
1302603,1100205,6.8260323923586546,True,False,False,False,False
1200203,1302603,13.433316114348996,True,False,False,False,False
1200401,1302603,10.392521111934567,True,False,False,False,False
1300409,1302603,3.597833204232726,True,False,False,False,False
1300706,1302603,9.284537135568094,True,False,False,False,False
1302603,1300805,1.3567500509743784,True,False,False,False,False
1301001,1302603,7.100417865582904,True,False,False,False,False
1301209,1302603,3.26217382537536,True,False,False,False,False
1302603,1301407,10.469240292061304,True,False,False,False,False
1302603,1301605,6.093135370496514,True,False,False,False,False
1301704,1302603,5.336468001631611,True,False,False,False,False
1302603,1302405,6.32874683227457,True,False,False,False,False
1302603,1302702,2.9909665545114517,True,False,False,False,False
1302603,1302900,2.3278699872725332,True,False,False,False,False
1303403,1302603,3.3233803196916627,True,False,False,False,False
1303601,1302603,5.670801888419771,True,False,False,False,False
1303809,1302603,7.6623328544058715,True,False,False,False,False
1302603,1303908,8.93278997366254,True,False,False,False,False
1302603,1304062,9.984830473633153,True,False,False,False,False
1302603,1304203,4.692215199663293,True,False,False,False,False
1302603,1400100,5.957380689917716,True,False,False,False,False
1500602,1302603,7.814862063879554,True,False,False,False,False
1302603,1503606,4.199249770367907,True,False,False,False,False
1505304,1302603,4.372643541237794,True,False,False,False,False
1505536,1302603,10.557133926779438,True,False,False,False,False
1302603,1506807,5.334834842061156,True,False,False,False,False
1302603,1508100,10.379617126011864,True,False,False,False,False
1302603,1600303,9.49372015091924,True,False,False,False,False
1302603,1702109,12.50431880383012,True,False,False,False,False
1302603,2111300,15.824441067750714,True,False,False,False,False
1302603,2800308,24.25789988678193,True,False,False,False,False
1302603,3170206,19.702625270284226,True,False,False,False,False
1302603,3205309,26.17154329736646,True,False,False,False,False
4108304,1302603,23.07588883441911,True,False,False,False,False
1302603,4113700,22.06121364800681,True,False,False,False,False
5002704,1302603,18.18845550931163,True,False,False,False,False
5103403,1302603,13.100917293649522,True,False,False,False,False
1302603,5208707,17.33986662296063,True,False,False,False,False
1300805,1302702,2.2162904276144033,True,False,False,False,True
1303403,1503606,1.7987746664460502,True,False,False,False,False
1505304,1303403,1.228118351870219,True,False,False,False,False
1505536,1303403,7.659890887927526,True,False,False,False,False
1303403,1508100,7.160412838643777,True,False,False,False,False
1303403,1702109,9.672979352746363,True,False,False,False,False
1303809,1300409,4.245409430600527,True,False,False,False,False
1303809,1303601,2.0876399280281817,True,False,True,True,True
1303908,1304062,1.2582717810466582,True,False,True,True,True
1303809,1304062,4.999399974590513,True,False,False,False,False
1304203,1304062,5.3088423247912555,True,False,False,False,False
1304203,1301407,6.131550647011673,True,False,False,False,False
1304203,1301605,1.6116669079476107,True,False,False,False,False
1303809,1304203,4.00184737354828,True,False,False,False,False
1304203,1303908,4.2413468377578445,True,False,False,False,False
1302603,1400027,6.896836784322884,True,False,False,False,False
1303809,1400100,7.0601810860166285,True,False,False,False,False
1400027,1400100,1.1177443201415114,True,False,False,True,True
1400050,1400100,0.6589132111858533,True,False,False,True,True
1400100,5106422,14.246321469810406,True,False,False,False,False
1500602,1303403,4.562540468696583,True,False,False,False,False
1500602,1503606,3.922246014440697,True,False,False,True,True
1505304,1500602,3.928139823550316,True,False,False,False,False
1505536,1500602,3.6801782768184483,True,False,False,False,False
1500602,1508100,2.6040190307060227,True,False,False,False,False
1500602,1702109,5.646022214752652,True,False,False,False,False
1501402,1100205,16.98206641420859,True,False,False,False,False
1501402,1200203,24.944372264557103,True,False,False,False,False
1200401,1501402,21.097557650892316,True,False,False,False,False
1501402,1302603,11.638065022174418,True,False,False,False,False
1501402,1303403,8.31469068177307,True,False,False,False,False
1501402,1400100,12.898485629547151,True,False,False,False,False
1501402,1500503,4.078454810512682,True,False,False,False,False
1500602,1501402,4.101748794489842,True,False,False,False,False
1501402,1502707,6.855443480941827,True,False,False,False,False
1501402,1503606,7.994737737431316,True,False,False,False,False
1504208,1501402,3.9279578207788677,True,False,False,False,False
1505304,1501402,7.364787306811651,True,False,False,False,False
1501402,1505437,5.880991262290237,True,False,False,False,False
1505536,1501402,4.819797240934868,True,False,False,False,False
1501402,1506138,6.746318532549299,True,False,False,False,False
1501402,1506708,8.091017660423075,True,False,False,False,False
1501402,1506807,6.304892195352946,True,False,False,False,False
1501402,1507300,6.240209984149926,True,False,False,False,False
1501402,1508100,2.586611593281067,True,False,False,False,False
1501402,1600303,2.9663101986302367,True,False,False,False,False
1501402,1702109,5.746566442853054,True,False,False,False,False
1721000,1501402,8.739393313784545,True,False,False,False,False
1501402,2105302,4.187968251428202,True,False,False,False,False
1501402,2111300,4.428599784049794,True,False,False,False,False
1501402,2800308,14.850853262790025,True,False,False,False,False
1501402,3170206,17.464124753169962,True,False,False,False,False
1501402,3205309,20.562041416357626,True,False,False,False,False
1501402,3509502,21.61388410213981,True,False,False,False,False
1501402,3543402,19.733866020352668,True,False,False,False,False
4108304,1501402,24.81551458146513,True,False,False,False,False
1501402,4211306,25.43519400016856,True,False,False,False,False
1501402,5208707,15.26051169552348,True,False,False,False,False
1502707,1506708,1.5127329975928359,True,False,False,False,False
1503606,1500503,4.371834760573419,True,False,False,False,False
1505304,1503606,2.5032123952287857,True,False,False,False,False
1508100,1503606,6.342354904793621,True,False,False,False,False
1702109,1503606,8.31402812123845,True,False,False,False,False
1504208,1500602,3.7756715137833345,True,False,False,False,False
1504208,1502707,2.93433968739619,True,False,False,False,False
1504208,1505437,2.4324964822951762,True,False,False,False,False
1504208,1505536,1.085328774335874,True,False,False,False,True
1504208,1506138,2.8471289214387703,True,False,False,False,False
1504208,1506708,4.18657752755083,True,False,False,False,False
1504208,1507300,3.1658933570044,True,False,False,True,True
1504208,1702109,2.054516381624708,True,False,False,False,False
1504208,3304557,18.53575463136535,True,False,False,False,False
1505304,1500503,3.289164763530547,True,False,False,False,False
1507300,1505437,0.9063998137905797,True,False,False,True,True
1505536,1503606,6.357966465713474,True,False,False,False,False
1505536,1505437,1.362181699994962,True,False,False,True,True
1505536,1507300,2.161005708710074,True,False,False,True,True
1505536,1508100,2.3156515188513347,True,False,False,False,False
1505536,1702109,2.0250126361003207,True,False,False,False,False
1505536,2800308,13.718245285056888,True,False,False,False,False
1506138,1502707,0.8031802518454346,True,False,False,True,True
