OBJECTID,COD_ORIG,ORIGEM___L,COD_DEST,DESTINO___,CARGA__KG_
"1","1100122",JI-PARANÁ,"1100304",VILHENA,"961"
"2","1100122",JI-PARANÁ,"1301704",HUMAITÁ,"361"
"3","1100122",JI-PARANÁ,"1302405",LÁBREA,"351"
"4","1100122",JI-PARANÁ,"3106200",BELO HORIZONTE,"0"
"5","1100122",JI-PARANÁ,"3549805",SÃO JOSÉ DO RIO PRETO,"0"
"6","1100122",JI-PARANÁ,"5107909",SINOP,"0"
"7","1100122",JI-PARANÁ,"5300108",BRASÍLIA,"0"
"8","1100205",PORTO VELHO,"1100122",JI-PARANÁ,"794"
"9","1100205",PORTO VELHO,"1100304",VILHENA,"299"
"10","1100205",PORTO VELHO,"1200203",CRUZEIRO DO SUL,"141651"
"11","1100205",PORTO VELHO,"1200401",RIO BRANCO,"118272"
"12","1100205",PORTO VELHO,"1301209",COARI,"0"
"13","1100205",PORTO VELHO,"1301704",HUMAITÁ,"88"
"14","1100205",PORTO VELHO,"1302405",LÁBREA,"433"
"15","1100205",PORTO VELHO,"1304203",TEFÉ,"0"
"16","1100205",PORTO VELHO,"5208707",GOIÂNIA,"0"
"17","1200203",CRUZEIRO DO SUL,"1100122",JI-PARANÁ,"0"
"18","1200401",RIO BRANCO,"1100122",JI-PARANÁ,"0"
"19","1200401",RIO BRANCO,"1200203",CRUZEIRO DO SUL,"285338"
"20","1200401",RIO BRANCO,"3304557",RIO DE JANEIRO,"0"
"21","1200401",RIO BRANCO,"3509502",CAMPINAS,"0"
"22","1300409",BARCELOS,"1303601",SANTA ISABEL DO RIO NEGRO,"0"
"23","1300706",BOCA DO ACRE,"1200401",RIO BRANCO,"0"
"24","1301001",CARAUARI,"1304203",TEFÉ,"0"
"25","1301209",COARI,"1301001",CARAUARI,"0"
"26","1301209",COARI,"1301407",EIRUNEPÉ,"1071"
"27","1301209",COARI,"1304203",TEFÉ,"34999"
"28","1301209",COARI,"1506807",SANTARÉM,"0"
"29","1301605",FONTE BOA,"1303908",SÃO PAULO DE OLIVENÇA,"433"
"30","1301605",FONTE BOA,"1304062",TABATINGA,"18"
"31","1302405",LÁBREA,"1301704",HUMAITÁ,"754"
"32","1302603",MANAUS,"1100122",JI-PARANÁ,"357"
"33","1302603",MANAUS,"1100205",PORTO VELHO,"643146"
"34","1302603",MANAUS,"1200203",CRUZEIRO DO SUL,"147204"
"35","1302603",MANAUS,"1200401",RIO BRANCO,"131642"
"36","1302603",MANAUS,"1300409",BARCELOS,"1067"
"37","1302603",MANAUS,"1300706",BOCA DO ACRE,"0"
"38","1302603",MANAUS,"1300805",BORBA,"0"
"39","1302603",MANAUS,"1301001",CARAUARI,"0"
"40","1302603",MANAUS,"1301209",COARI,"63038"
"41","1302603",MANAUS,"1301407",EIRUNEPÉ,"4208"
"42","1302603",MANAUS,"1301605",FONTE BOA,"719"
"43","1302603",MANAUS,"1301704",HUMAITÁ,"1846"
"44","1302603",MANAUS,"1302405",LÁBREA,"1979"
"45","1302603",MANAUS,"1302702",MANICORÉ,"0"
"46","1302603",MANAUS,"1302900",MAUÉS,"0"
"47","1302603",MANAUS,"1303403",PARINTINS,"8620"
"48","1302603",MANAUS,"1303601",SANTA ISABEL DO RIO NEGRO,"711"
"49","1302603",MANAUS,"1303809",SÃO GABRIEL DA CACHOEIRA,"4659"
"50","1302603",MANAUS,"1303908",SÃO PAULO DE OLIVENÇA,"1187"
"51","1302603",MANAUS,"1304062",TABATINGA,"15212"
"52","1302603",MANAUS,"1304203",TEFÉ,"4872"
"53","1302603",MANAUS,"1400100",BOA VISTA,"643427"
"54","1302603",MANAUS,"1500602",ALTAMIRA,"1362"
"55","1302603",MANAUS,"1503606",ITAITUBA,"569"
