OBJECTID,FERROVIA,OPERADORA,CODPNVSIMP,COD_PNV,nome,geometriaa,geocodigo,anoderefer,xcoord,ycoord
"3",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0010,Pedra Branca do Amapari,Não,"1600154",,-51.959710839317268,0.844836972310148
"3",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0010,Serra do Navio,Não,"1600055",,-51.959710839317268,0.844836972310148
"4",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0040,Pedra Branca do Amapari,Não,"1600154",,-51.884192456827549,0.703717174528823
"4",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0040,Pedra Branca do Amapari,Não,"1600154",,-51.872347719873822,0.692790990457334
"4",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0040,Porto Grande,Não,"1600535",,-51.884192456827549,0.703717174528823
"4",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0040,Porto Grande,Não,"1600535",,-51.872347719873822,0.692790990457334
"5",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0050,Pedra Branca do Amapari,Não,"1600154",,-51.843457432350810,0.676859457000035
"5",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0050,Pedra Branca do Amapari,Não,"1600154",,-51.803829174999976,0.657240534336652
"5",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0050,Pedra Branca do Amapari,Não,"1600154",,-51.781536045712720,0.646203784081919
"5",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0050,Pedra Branca do Amapari,Não,"1600154",,-51.756778956025073,0.638463926469661
"5",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0050,Porto Grande,Não,"1600535",,-51.843457432350810,0.676859457000035
"5",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0050,Porto Grande,Não,"1600535",,-51.803829174999976,0.657240534336652
"5",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0050,Porto Grande,Não,"1600535",,-51.781536045712720,0.646203784081919
"5",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0050,Porto Grande,Não,"1600535",,-51.756778956025073,0.638463926469661
"6",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0060,Pedra Branca do Amapari,Não,"1600154",,-51.728605379254482,0.637873948265941
"6",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0060,Porto Grande,Não,"1600535",,-51.728605379254482,0.637873948265941
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Porto Grande,Não,"1600535",,-51.360981004372505,0.671793223316867
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Porto Grande,Não,"1600535",,-51.295284875129362,0.635045602186580
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Porto Grande,Não,"1600535",,-51.254840614566142,0.615430037240374
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Porto Grande,Não,"1600535",,-51.241822606782989,0.609118471568377
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Porto Grande,Não,"1600535",,-51.098290343092557,0.421596192281038
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Macapá,Não,"1600303",,-51.098290343092557,0.421596192281038
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Ferreira Gomes,Não,"1600238",,-51.360981004372505,0.671793223316867
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Ferreira Gomes,Não,"1600238",,-51.295284875129362,0.635045602186580
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Ferreira Gomes,Não,"1600238",,-51.254840614566142,0.615430037240374
"10",Serra do Navio - Porto Santana,MMX Logística,EF-401,401FAP0090,Ferreira Gomes,Não,"1600238",,-51.241822606782989,0.609118471568377
"12",América Latina Logística do Brasil,América Latina Logística Malha Sul S.A.,EF-290,290FRS0320,Alegrete,Não,"4300406",,-56.381782415564160,-29.735408446379672
"12",América Latina Logística do Brasil,América Latina Logística Malha Sul S.A.,EF-290,290FRS0320,Uruguaiana,Não,"4322400",,-56.381782415564160,-29.735408446379672
"18",América Latina Logística do Brasil,América Latina Logística Malha Sul S.A.,EF-290,290FRS0290,Alegrete,Não,"4300406",,-55.447457983863202,-29.664306376113284
"18",América Latina Logística do Brasil,América Latina Logística Malha Sul S.A.,EF-290,290FRS0290,Manoel Viana,Não,"4311759",,-55.447457983863202,-29.664306376113284
