geocodigo,municipio,estado,populacao,xcoord,ycoord,area,perimetro,leitos_hosp
1100015,Alta Floresta D'Oeste,RO,22728,-61.9964816666666,-11.9294661111111,7074.54777572317,653.606983302272,31
1100023,Ariquemes,RO,109523,-63.0332692780483,-9.90846286656719,4390.85091773167,435.42778613401504,142
1100031,Cabixi,RO,5188,-60.5446655555555,-13.4950983333333,1308.66671369323,196.977603618214,4
1100049,Cacoal,RO,85893,-61.4429442118224,-11.4338650286851,3795.1804840057603,320.034289363354,257
1100056,Cerejeiras,RO,16204,-60.8186533333333,-13.1944161111111,2785.07909363828,382.335888816808,25
1100064,Colorado do Oeste,RO,15544,-60.5501552420283,-13.1293071068817,1449.2363002987101,179.826165262838,30
1100072,Corumbiara,RO,7220,-60.9421533333333,-12.9982016666667,3061.33714466527,344.849482394609,16
1100080,Costa Marques,RO,18798,-64.2292077777777,-12.4354933333333,4970.79356826339,551.951462918318,34
1100098,Espigão D'Oeste,RO,32695,-61.0219505555555,-11.5323763888889,4518.27719736571,334.039223518431,36
1100106,Guajará-Mirim,RO,46556,-65.3239518196923,-10.7738837406704,24831.331757956003,976.529990239217,40
1100114,Jaru,RO,51620,-62.4762307081316,-10.4359487678844,2919.47463684937,415.223222562268,65
1100122,Ji-Paraná,RO,130009,-61.9450945826841,-10.882051318349,6876.13010627175,532.456874720914,149
1100130,Machadinho D'Oeste,RO,40867,-61.9995925724466,-9.42556248,8509.17541536386,637.770786325225,25
1100148,Nova Brasilândia D'Oeste,RO,20489,-62.3176944444444,-11.7262866666667,1704.01847324618,273.474227962846,30
1100155,Ouro Preto do Oeste,RO,35737,-62.2610551904362,-10.7235739008135,1979.87050620437,302.05504789047103,56
1100189,Pimenta Bueno,RO,36881,-61.1836656736419,-11.67753699,6240.694262703169,539.7602648227389,23
1100205,Porto Velho,RO,539354,-63.8314456543611,-8.76889179,34090.2619191134,2075.62383361993,1282
1100254,Presidente Médici,RO,18571,-61.9056144444444,-11.1708888888889,1759.39412416415,263.47688907844,32
1100262,Rio Crespo,RO,3804,-62.8985755555555,-9.70491444444446,1728.61421945613,208.25678372195898,7
1100288,Rolim de Moura,RO,55407,-61.7857809351854,-11.7222589133807,1455.72577076894,191.409872066773,51
1100296,Santa Luzia D'Oeste,RO,6216,-61.7774788888889,-11.9079327777778,1193.70709699571,197.326431320001,16
1100304,Vilhena,RO,102211,-60.1385838660987,-12.7413734718029,11526.832088695899,949.3894008292391,145
1100320,São Miguel do Guaporé,RO,23077,-62.716005,-11.69242,7456.13010949662,700.47443278999,27
1100338,Nova Mamoré,RO,31392,-65.33181,-10.4112855555555,10085.723376435,615.6131370942641,11
1100346,Alvorada D'Oeste,RO,14106,-62.2857388888889,-11.3481683333333,3030.14773419837,426.928733439396,19
1100379,Alto Alegre dos Parecis,RO,13255,-61.8548505555555,-12.1276733333333,3967.81895088922,472.569689570532,8
1100403,Alto Paraíso,RO,21847,-63.3159505555555,-9.71985444444442,2646.90474013323,399.68652147092,12
1100452,Buritis,RO,40356,-63.8312494444444,-10.2059783333333,3264.0027789853802,331.551574549771,31
1100502,Novo Horizonte do Oeste,RO,8329,-61.9993516666667,-11.7090533333333,841.01865631556,152.52020526078098,13
1100601,Cacaulândia,RO,6269,-62.9003433333333,-10.3387172222222,1993.51463371926,191.80928228554401,16
1100700,Campo Novo de Rondônia,RO,14266,-63.6212855555555,-10.5698794444444,3438.5466072986897,373.978875362103,12
1100809,Candeias do Jamari,RO,27388,-63.69891,-8.78535777777779,6841.04050342585,731.366609441747,5
1100908,Castanheiras,RO,2987,-61.9483611111111,-11.4271511111111,890.3981439810949,157.33475555196299,7
1100924,Chupinguaia,RO,11472,-60.9026416666666,-12.5532566666666,5123.5396771264495,466.340275451858,6
1100940,Cujubim,RO,26183,-62.5804522222222,-9.36614611111111,3857.4450243327196,395.5150044916,8
1101005,Governador Jorge Teixeira,RO,7445,-62.7295127777778,-10.6097294444444,5063.56433648711,389.19204018454496,11
1101104,Itapuã do Oeste,RO,10641,-63.18559,-9.18599499999999,4084.4013565649198,455.94025684256997,10
